chunk_idx,text,filename,is_rule,lv1_name
0,"- 1 -
제 목 : 금융소비자보호법 관련 10問 10答□ 금융당국은지난2월부터 각금융업권협회내금소법전담TF를통해 업권의질의사항을취합받아답변을제공하고있습니다. ㅇ 그중특히중요한질의는지난2.18일, 3.17일2차례FAQ 답변을웹*에게시했으며, 앞으로도수시로제공할예정입니다. * 금융위·금감원 홈페이지□ 최근언론에서언급된업계우려사항 대부분은법령을통해어렵지않게 확인할수있거나기존FAQ에서도답변이되었던사항입니다. ㅇ 그럼에도불구하고새로운제도에대한업계의불안감이큰만큼아래의주요우려점에대해추가로설명을드리고자합니다. ➀ 소비자가위법계약해지권 행사시판매자의금전반환범위는?➁ 소액분쟁조정의판단기준은?➂ 상품숙지의무의이행에대한구체적가이드라인이있는지?➃ 설명서를반드시서면으로제공해야하는지?➄ 법령에핵심설명서에대한구체적규정이있는지?➅ 투자성향평가결과는한번정해지면변경되지않는지?➆ 금융사직원도과태료·징벌적과징금부과대상인지?➇ 투자상품포트폴리오에소비자에부적합한고위험상품이하나라도있으면 권유하지못하는건지?➈ 내부통제기준을법시행일에맞춰마련하기가어려운데?➉ 새마을금고․농협․수협․산림조합에대한금소법적용은? 
보 도 참 고 자 료
보도배포 후 즉시배포2021.3.24.(수)
책 임 자금융위 금융소비자정책과장홍 성 기(02-2100-2630)담 당 자김 영 근 사무관(02-2100-2642)금감원 금융소비자보호총괄국장김 범 준(02-3145-5700)정 재 승 팀장(02-3145-5697)",210331_금소법10문10답_게시용_.pdf,False,R4
1,"- 2 -
1. 위법계약해지권 행사 시 금전반환범위가. 위법계약해지권개요□ 위법계약해지권이란, 금융사가판매규제*를위반한경우소비자가 그규제 위반을이유로계약을중도에해지할수있는권리입니다. * 적합성 원칙, 적정성 원칙, 설명의무, 불공정영업금지, 부당권유금지 ㅇ 해지시, 판매자가소비자에해지를이유로수수료, 위약금등해지와관련된비용을요구하는행위를금지하고있습니다.□ 위법계약해지권의취지는위법한계약에대해소비자가 해지에따른재산상불이익을해지시점이후부터받지않도록 하는데있습니다. ㅇ 위법한계약에따른손해배상을요구하는손해배상청구권과는 성격이다르다는점을유의할필요가있습니다.나. 해지권행사시금전반환범위 < 원칙>위법계약해지의효과는장래를향해발생하기때문에해당계약은‘해지시점’ 이후부터무효가됩니다. ㅇ 따라서계약체결후해지시점까지의 계약에따른서비스제공과정에서발생한비용등*은원칙적으로계약해지후소비자에게 지급해야할금전의범위에포함되지않습니다. * 예: 대출 이자, 카드 연회비, 펀드 수수료·보수, 투자손실, 위험보험료 등통상소비자가계약해지시수수료(중도상환수수료, 환매수수료등), 위약금등을부담하고있으나, 위법한계약의경우에는판매자가 해지와관련된비용을 소비자에부과할수없습니다.",210331_금소법10문10답_게시용_.pdf,False,R4
2,"- 3 -
 < 금융상품별예시>[예금] 중도해지시이자율이만기시이자율보다낮은 경우에는만기시이자율(만기시우대이자율은제외)을적용합니다.[대출·리스·할부금융] 중도상환수수료는 부과할수없으며, 소비자가기지급한이자는환급되지않습니다, ㅇ 대출한도약정대출인경우에는해지후남은계약기간에대한 “한도약정수수료*”를 부과할수없습니다. * 한도대출에 따른 충당금 적립 부담 및 자금보유 기회비용 보전을 위해 한도 설정금액에 대해 수수료를 요구 (산식: 약정액×수수료율×약정기간/365)[펀드] 중도환매수수료를부과할수없으며, 해지시점전거래와관련된소비자가지급한수수료, 보수는환급되지않습니다. ㅇ 환매관련기준은다음과같이상품유형에따라판단할수있습니다. < 위법계약해지 시 환매 관련 기준 >일반적으로 해지일 다음날을 기준으로 집합투자규약, 투자설명서에서 정한 방법에 따라 환매대금을 산정ETF(Exchange Traded Fund)와 같은 거래소 상장 상품은 해지일 다음날 거래소 장(場) 시작 전(8:40~9:00) 단일가 경쟁매매로 결정된 시가에 따라 일괄 처분폐쇄형 펀드는 해지일 다음날에 가장 근접한 기준가격(「자본시장법」상 집합투자재산평가위원회가 평가)에 따름[보험] 보험사는계약해지에따른해지수수료, 위약금을부과할수없으며, 소비자에환급해야할보험료의범위는다음과같습니다. ㅇ 납입보험료 중에서해지시점전까지위험보장, 계약의체결‧ 유지관리등에대한비용(위험보험료+ 부가보험료)을 제외한나머지금액*은환급해야합니다. * (해지시점 이후에) 소비자에게 보험금을 지급하기 위해 (해지시점 이전까지) 적립해 둔 금액 및 그에 대한 이자 ㅇ 위험보장, 계약의체결‧유지관리등에대한비용(위험보험료+ 부가보험료)은全 계약기간에걸쳐안분하여“해지시점이전에 해당하는금액”만비용으로인정됩니다.",210331_금소법10문10답_게시용_.pdf,False,R4
3,"- 4 -
2. 소액분쟁조정의 판단기준가. 소액분쟁조정이탈금지제도개요□ 금소법은금융사가분쟁조정을회피하려고소를제기함으로인해일반금융소비자*가사후구제에어려움을겪지않을수있도록, * 금융소비자보호법상 ‘전문금융소비자’가 아닌 자 ㅇ 분쟁조정가액이2천만원이하인분쟁조정이진행중인경우에는금융사의소제기를금지하고있습니다.나. 소액분쟁조정해당여부판단기준□ 금소법(제42조제2호)에서는분쟁조정가액을“(조정을신청한일반금융소비자가) 조정을통하여주장하는권리나이익의가액이2천만원이내일것”이라규정하고있습니다. → 법문언상소액분쟁조정해당여부와관련하여분쟁조정가액은소비자가분쟁조정신청시주장하는금액으로판단합니다.3. 상품숙지의무 이행기준가. 상품숙지의무개요□ 금소법시행령(§16➂)에서는“내부통제기준에따른직무수행교육을받지않은자로하여금계약체결권유와관련된업무를하게하는행위”를부당권유행위로본다고규정하고있습니다.나. 이행기준□ 상품숙지의무이행여부에대한판단은금융사가개별금융상품에필요한직무교육 사항을내규로정하여이행했는지를기준으로판단할수있을것입니다. □ 개별금융상품에필요한직무교육사항은금융사가 상품의내용, 소비자보호정책등을고려하여자율적으로정할사항입니다.",210331_금소법10문10답_게시용_.pdf,False,R4
4,"- 5 -
4. 설명서 제공방법가. 설명의무개요□ 판매자는권유시또는일반금융소비자가요청하는경우에원칙상 설명서를제공하여설명해야합니다.□ 소비자는판매자의설명을이해한경우, 그사실을서명(전자서명포함), 기명날인, 녹취를통해확인해줘야합니다.나. 설명서제공방법□ 금소법시행령(§14③)에서는상품설명서제공방법을서면교부,우편(전자우편포함),문자메시지등전자적의사표시로규정합니다. ㅇ 전자적의사표시에는전자적장치(모바일앱, 태블릿등)의화면을 통해설명서내용을보여주는것도포함됩니다. 5. 핵심설명서 작성사항가. 핵심설명서개요□ 소비자가두꺼운설명서내용을충분히파악하기힘든어려움을해소하기위해금소법감독규정(§13①5호)에서는설명서맨앞에중요 사항을요약한내용을두도록규정하고있습니다.(9.25일시행)나. 핵심설명서작성사항□ 금소법감독규정(§13①5호)에서는핵심설명서에포함시켜야할사항을다음과같이규정하고있습니다. ㅇ 유사한금융상품과차별화되는특징 ㅇ 계약후발생가능한불이익에관한사항(위험등급, 원리금연체시불이익, 민원․분쟁이빈번하여소비자숙지가필요한사항등) ㅇ 민원을제기하거나상담을요청하려는경우이용가능한연락처※ 상반기중각금융업권협회에서핵심설명서표준안을마련할계획",210331_금소법10문10답_게시용_.pdf,False,R4
5,"- 6 -
6. 적합성 원칙 관련가. 적합성원칙개요□ 판매자는고객으로부터적합성판단에필요한정보를제공받고제공된정보에이상이없는지를고객으로부터확인받아야합니다.□ 판매자는고객이제공한정보를토대로소비자의손실감수능력또는대출상환능력등을판단하여고객에적합하지않은금융상품을권유해서는안됩니다. ㅇ 판매자는법령에따라마련한적합성판단기준에근거하여해당금융상품이고객에부적합한지를판단해야합니다.나. 주요이슈에대한답변판매자는소비자로부터제공받은정보의사실여부확인을위해소비자에증빙자료를요구해야할의무가없습니다. 금소법령에서는판매자가금융상품이소비자에부적합한지를판단하는경우에원칙적으로소비자가제공한정보(연령, 재산상황, 금융상품이해도, 투자경험등)를종합고려하도록하고있습니다. ㅇ 또한법령상적합성판단기준은현장의수용성을높이기위해기존금융투자협회“표준투자권유준칙” 등에크게벗어나지않는범위내에서마련되었습니다.7. 과태료․징벌적 과징금 부과 관련□ 6대판매원칙위반에대해서는과태료(최대1억원) 부과가가능하며, ㅇ 징벌적과징금(최대수입등의50%)은6대판매원칙중적합성원칙․적정성원칙外 4개규제 위반에한하여부과가가능합니다.□ 6대판매원칙은금융상품판매업자․자문업자에적용되는규제이므로 위반을이유로소속임직원에과태료․과징금이부과되지않습니다.",210331_금소법10문10답_게시용_.pdf,False,R4
6,"- 7 -
8. 투자성 상품 위험등급 평가 관련가. 위험등급평가개요□ 금소법에따라은행, 증권회사 등금융상품직접판매업자는펀드등 투자성상품의위험등급을마련하여설명서에기재해야합니다.□ 금소법하위규정에서는위험등급마련시고려해야할사항으로기초자산의변동성, 최대원금손실가능금액 등을규정합니다.나. 다수의펀드로구성된경우위험등급설명□ 위험등급설명과관련해서는기존자본시장법에서규율한 내용과크게다르지않습니다. ㅇ 다수의펀드로구성된금융상품의위험은구성펀드의위험등급전체를종합하여평가합니다. ㅇ 변액보험, ISA(Individual Saving Account)의경우계약시소비자가펀드를선택하는경우에선택한펀드의위험등급만설명하면됩니다. (선택범위내모든펀드를설명할필요가없습니다)9. 내부통제기준 관련□ 내부통제기준마련의무는금년9.25일부터시행됩니다. → 관련조직, 임원은 법시행일에맞춰내부통제기준을마련한후 주주총회, 이사회등필요한절차를거쳐갖추면됩니다.□ 내부통제기준에포함시켜야할사항은현장의수용성을높이기위해기존에금융권에서수년간적용해왔던「금융소비자보호모범규준」(금감원행정지도)의주요사항위주로규정했습니다.□ 또한금년상반기까지각금융업권협회별로내부통제기준위원회를신설하여“표준내부통제기준”을마련할계획입니다.",210331_금소법10문10답_게시용_.pdf,False,R4
7,"- 8 -
10. 새마을금고․농협․수협․산림조합 금소법 적용 관련가. 금소법적용대상이아닌이유□ 농협․수협․산림조합․새마을금고는현행감독․제재체계*가금소법제정당시반영되지않아금소법적용범위에서제외 * 금융위(새마을금고는 중앙회장)가 감독을 수행하지만, 기관조치 권한은 없음 ↔ 농협 등이 금소법 적용대상이 되면 현 체계와 달리 금융위가 기관조치 가능나. 대응경과및향후계획□ 금융위는작년10월부터 새마을금고·농협·수협·산림조합에금소법을적용하는방안을관계부처와함께검토해왔습니다.< 상호금융 금소법 적용 관련 기배포된 보도자료 주요내용 >(’20.10.28., “금소법 시행령 입법예고”) 새마을금고·농협·수협·산림조합에 금소법이 적용되지 않는 부분에 대해 관계기관 협의를 거쳐 조속한 시일 내 보완방안을 마련(’20.12.1., “상호금융정책협의회 개최”) 상호금융의 소비자보호와 관련해서는 향후 관계기관 간 추가 논의를 거쳐 금소법 시행 전까지 세부 추진방안을 마련할 계획(’21.2.16., “금융위 금융소비자국 업무계획”) 상호금융권 전반에 소비자보호 규제가 적용될 수 있도록 관계부처가 함께 방안을 마련·추진□ 현재관련협의가차질없이진행중이며, 금소법시행후조속한 시일내관계부처와함께방안을마련하여발표할계획입니다.
“혁신금융, 더 많은 기회 함께하는 성장”
☞ 본 자료를 인용 보도할 경우 출처를 표기해 주십시오.http://www.fsc.go.kr금융위원회 대 변 인prfsc@korea.kr",210331_금소법10문10답_게시용_.pdf,False,R4
8,"- 9 -
 금융소비자보호법이 무엇인가요?2019년고위험금융상품인파생결합펀드(DLF)불완전판매와관련한대규모소비자피해발생등의영향으로금융소비자보호강화에대한사회적공감대가형성되면서2021년3월25일부터「금융소비자보호에관한법률(이하‘금소법’)」이시행되었습니다.금소법은금융상품판매업자와자문업자의등록및영업행위준수사항,금융분쟁조정제도,청약철회권및위법계약해지권등소비자권리에관한사항을주요내용으로규정하고있습니다.금소법이시행되기이전개별금융법률에서도금융소비자보호를위해금융회사의영업행위를규제하였으나근거법률에따라규제의내용이달라금융소비자가보호를받지못하는사각지대가존재하였습니다.금소법에서는기존금융법률에서일부상품에대해서만적용하던영업행위규제를원칙적으로모든금융상품으로그적용대상을확대하는한편동일한기능을가진금융상품에대해서는동일한규제를적용하도록하여금융소비자가보호받을수있는범위를확대하였습니다.또한금소법에서는분쟁조정이신청된사건에대하여진행중인소송을중지할수있는소송중지제도,소비자가신청한소액분쟁조정건에대하여분쟁조정완료시까지금융회사의소송제기를금지하는조정이탈금지제도를마련하였습니다.이외에도금융상품판매업자등에대한금융소비자의자료열람요구권을신설하고금융상품판매업자등의설명의무위반시손해배상입증책임을금융상품판매업자등에게로전환하는등금융소비자의권리를강화하였습니다.",230918_금융소비자용 금소법 안내자료_f.pdf,False,R4
9,"- 10 -
앞으로금융기법의발달과금융회사간겸업화의영향으로복합금융상품이출현하고상품구조등이복잡해질것으로예상되나금융소비자가이를완전히이해하는것이쉽지않은만큼금소법이금융소비자를보호하는데있어중요한역할을수행해나갈것으로기대됩니다.",230918_금융소비자용 금소법 안내자료_f.pdf,False,R4
